    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  655.81  25518.20      0.00      0.00
  709.51  28194.30      0.00      0.00
  713.74  28190.64      1.15      0.00
  706.16  28187.71      0.00      0.00
  714.24  28198.64      0.00      0.00
  712.31  28191.36      0.00      0.00
  712.01  28190.76      0.00      0.00
  714.49  28195.65      0.00      0.00
  710.07  28193.37      0.32      0.00
  679.73  28193.03      0.00      0.00
  685.24  28191.71      0.00      0.00
  684.16  28193.20      0.00      0.00
  680.62  28192.72      0.00      0.00
  679.70  28192.16      0.32      0.00
  680.02  28193.06      0.00      0.00
  679.48  28182.72      0.00      0.00
  680.81  28202.25      0.00      0.00
  680.22  28189.46      0.00      0.00
  680.39  28196.50      0.84      0.00
  682.03  28192.78      0.32      0.00
  679.17  28193.99      0.00      0.00
  685.42  28181.80      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  679.63  28201.15      0.00      0.00
  685.06  28193.54      0.00      0.00
  679.99  28192.22      0.32      0.00
  674.83  28193.60      0.00      0.00
  685.19  28192.34      0.00      0.00
  680.79  28189.43      0.00      0.00
  679.51  28195.99      0.00      0.00
  680.59  28191.71      0.00      0.00
  356.49  25331.93      0.32      0.00
 1111.47  26036.04      0.00      0.00
  942.95  28190.62      0.00      0.00
  858.31  28197.63      0.00      0.00
  680.30  28191.51      0.00      0.00
  680.05  28194.50      0.32      0.00
  684.53  28192.69      0.00      0.00
  685.54  28192.07      0.00      0.00
  680.02  28193.20      0.00      0.00
  680.02  28193.23      0.00      0.00
  680.55  28190.19      0.32      0.00
  679.78  28195.46      0.00      0.00
  680.21  28189.26      0.00      0.00
  679.82  28196.90      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  680.28  28192.10      0.00      0.00
  491.05  20275.05      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
