    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  667.68  25925.40      0.00      0.00
  708.05  28193.00      0.32      0.00
  707.59  28188.33      0.83      0.00
  712.40  28194.47      0.00      0.00
  717.59  28193.74      0.00      0.00
  704.77  28189.02      0.00      0.00
  716.38  28191.12      0.32      0.00
  706.73  28198.56      0.00      0.00
  713.91  28192.61      0.00      0.00
  684.82  28192.72      0.00      0.00
  679.71  28192.30      0.00      0.00
  680.33  28192.84      0.00      0.00
  680.01  28192.89      0.32      0.00
  680.02  28193.23      0.00      0.00
  679.96  28190.98      0.00      0.00
  683.71  28190.76      0.00      0.00
  681.71  28191.63      0.00      0.00
  681.89  28197.71      0.32      0.00
  680.52  28191.14      0.84      0.00
  682.01  28187.94      0.00      0.00
  687.46  28198.50      0.00      0.00
  679.72  28192.64      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  680.00  28191.18      0.00      0.00
  680.24  28190.28      0.32      0.00
  680.24  28190.56      0.00      0.00
  681.89  28198.75      0.00      0.00
  678.69  28186.14      0.00      0.00
  681.31  28198.64      0.00      0.00
  680.35  28193.57      0.32      0.00
  679.73  28193.20      0.00      0.00
  458.81  28185.90      0.00      0.00
 1000.14  27485.30      0.00      0.00
  913.42  28203.77      0.00      0.00
  903.12  28190.40      0.00      0.00
  691.32  28189.29      0.32      0.00
  680.12  28197.49      0.00      0.00
  680.00  28191.23      0.00      0.00
  680.20  28188.87      0.00      0.00
  684.29  28198.87      0.00      0.00
  680.53  28189.24      0.32      0.00
  680.05  28194.39      0.00      0.00
  679.71  28192.24      0.00      0.00
  678.08  28196.53      0.00      0.00
  681.98  28190.67      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  680.61  28192.38      0.00      0.00
  487.44  20157.80      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    1.15      0.00      1.15      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
