    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  654.67  26064.60   1244.39  57342.65
  623.47  28180.95   1488.10  71223.55
  660.87  28204.25   1365.83  72049.58
  639.87  28186.70   1429.68  72040.66
  633.83  28186.50   1512.49  72034.83
  611.71  28203.76   1386.25  72067.57
  654.61  28172.68   1467.62  71389.97
  605.69  28209.59   1412.07  72043.33
  657.63  28196.81   1453.98  72054.53
  656.68  28189.73   1453.26  72049.75
  665.89  28187.34   1546.70  72055.45
  664.54  28196.87   1641.16  72037.36
  719.38  28184.35   1816.24  72054.60
  690.86  28200.33   1774.77  72040.54
  711.10  28187.41   1763.48  72046.25
  744.82  28199.37   1809.23  72061.39
  700.81  28183.16   1806.34  72032.32
  717.16  28204.70   1763.23  72060.96
  720.96  28187.79   1805.02  72051.53
  725.91  28170.32   1818.59  72007.07
  714.99  28218.98   1781.02  72094.77
  721.41  28184.31   1818.12  72044.52
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  709.33  28199.35   1769.93  72049.37
  700.14  28193.52   1768.82  72048.11
  742.97  28189.94   1826.77  72056.78
  700.71  28194.56   1820.67  72047.79
  712.62  28188.72   1806.67  72050.55
  701.18  28194.11   1777.89  72040.97
  723.16  28198.53   1804.59  72053.59
  714.60  28190.38   1794.58  72053.94
  358.76  24126.13    939.99  46629.62
    0.00     11.97      0.00     23.94
    0.00     11.98      0.00      0.00
    0.00      0.00    773.29  29479.03
    0.32     11.97   1840.04  72052.99
    0.00      0.00   1791.22  72000.77
    0.00      0.00   1806.37  72100.64
  215.73  19025.42    732.36  72043.00
  265.72  28193.04    397.12  72060.59
  304.47  28197.94    275.78  72020.63
  408.45  28193.43    393.85  72073.73
  523.61  28192.84   1149.31  72046.18
  638.77  28193.21   1528.85  72052.05
  625.21  28190.30   1464.19  72044.77
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  623.28  28191.97   1488.15  72056.47
  299.94  12086.51    438.35  20014.71
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    1.15      0.00      0.83      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
