    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  646.99  24572.07   1376.13  53676.35
  671.90  28179.30   1713.20  71821.87
  660.57  28205.24   1591.76  70716.46
  677.95  28188.42   1712.78  72049.61
  690.95  28195.97   1779.70  72059.33
  666.03  28195.01   1700.82  71797.76
  722.00  28191.96   1753.77  72049.93
  687.22  28191.48   1736.34  72056.20
  686.74  28196.73   1764.69  72048.98
  710.17  28182.35   1791.04  72032.54
  712.66  28202.85   1798.52  72063.35
  717.38  28193.26   1800.32  72059.58
  717.14  28189.67   1855.00  72034.99
  703.22  28188.98   1772.90  72058.46
  705.24  28196.42   1751.43  72047.18
  699.77  28195.87   1766.40  72055.38
  699.35  28189.80   1783.99  72049.46
  678.40  28185.87   1757.47  72039.88
  698.51  28198.28   1797.77  72040.48
  713.82  28199.55   1766.82  72054.92
  710.31  28077.88   1767.22  71919.16
  714.72  28301.05   1803.10  72183.62
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  696.49  28165.82   1731.44  71989.99
  701.43  28226.43   1809.93  72110.26
  695.31  28180.99   1755.48  72034.07
  706.93  28196.74   1793.28  72059.70
  703.89  28198.71   1776.36  72053.59
  721.39  28191.55   1812.46  72051.78
  715.19  28182.88   1795.07  72040.76
  695.59  28196.97   1783.47  72064.82
  325.33  25203.03    831.84  43374.60
    0.00     11.97      0.00     23.94
    0.00     11.97      0.00     11.97
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00     11.96      0.32     11.96
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
  308.01   9336.39    216.45  17836.37
  886.60  28197.09     69.73      1.47
  890.97  28192.95     72.27      1.47
  825.13  28185.97    147.89      1.47
  759.15  28196.36    146.79      1.47
  679.46  28194.78      1.98      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  680.36  28193.65      0.00      0.00
  697.49  28183.94    290.33  11409.87
  391.55  16196.04    440.63  18195.82
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.83      0.00
    1.15      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
