    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  632.26  25742.76   1282.09  58665.91
  648.29  28187.99   1453.82  72026.67
  641.93  28198.11   1452.01  72040.53
  617.62  28192.22   1324.95  71952.39
  620.05  28189.43   1496.44  72155.37
  652.31  28201.27   1430.08  72010.63
  662.12  28190.83   1451.94  72052.56
  686.45  28191.59   1507.29  72042.52
  611.61  28191.60   1423.42  72053.18
  642.16  28197.35   1564.75  72055.89
  695.96  28188.18   1765.03  72033.81
  651.24  28194.72   1615.18  72055.85
  664.04  28190.19   1618.36  72050.90
  683.96  28194.58   1677.02  72055.49
  633.60  28190.67   1491.87  72045.48
  638.43  28189.91   1472.92  72036.89
  732.15  28178.45   1795.72  72026.22
  715.60  28208.27   1803.42  72082.49
  718.47  28193.20   1844.30  72035.14
  723.34  28194.29   2928.41  64467.65
  693.42  28194.91   1770.57  72046.67
  718.84  28190.92   1797.63  72047.61
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  701.14  28191.60   2147.42  72053.45
  690.06  28185.23   2993.71  62377.33
  740.65  28202.90   2880.14  59269.42
  703.22  28196.99   2584.56  53536.54
  717.59  28161.72   2465.25  68675.85
  750.48  28214.87   1888.01  72513.23
  720.43  28199.21   1783.12  72050.35
  726.53  28183.40   1789.05  72042.31
  296.80  20230.51    738.03  40373.84
    0.33     12.44      0.00     11.95
    0.00     11.95      0.00      0.00
    0.00      0.00   1640.14  66480.37
    0.32     11.97   1822.15  72052.78
    0.00      0.00   1771.24  72045.29
    0.00      0.00   1654.17  72049.99
    0.00      0.00   1369.62  72055.71
    0.00     11.93   1064.64  72046.53
  196.19   4340.59    132.41     60.52
  236.28   4237.46      0.32     11.97
  979.18  23074.66   1536.99  52403.20
  636.98  28190.50   1446.64  72045.05
  630.22  28195.91   1558.12  72052.22
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
  654.25  28190.36   1436.75  72050.01
  329.24  14209.89    563.63  26129.48
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    1.16      0.00      1.16      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
