    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1567.06  61438.58      0.00      0.00
 1711.23  67865.90      0.00      0.00
 1666.15  67854.34      1.16      0.00
 1671.04  67869.76      0.00      0.00
 1637.73  67895.12      0.00      0.00
 1673.81  67868.86      0.00      0.00
 1447.80  67860.95      0.00      0.00
 1598.67  67873.67      0.00      0.00
 1663.67  67870.41      0.32      0.00
 1634.14  67793.00      0.00      0.00
 1692.68  67952.23      0.00      0.00
 1690.23  67868.07      0.00      0.00
 1682.94  67877.71      0.00      0.00
 1646.72  67869.62      0.32      0.00
 1657.34  67858.38      0.00      0.00
 1601.52  67885.36      0.00      0.00
 1671.64  67870.97      0.00      0.00
 1657.96  67868.07      0.00      0.00
 1656.80  67873.03      0.83      0.00
 1649.41  67869.15      0.32      0.00
 1665.10  67863.86      0.00      0.00
 1653.36  67878.00      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1650.18  67874.72      0.00      0.00
 1654.73  67862.90      0.00      0.00
 1660.92  67871.55      0.32      0.00
 1648.89  67872.54      0.00      0.00
 1659.22  67874.96      0.00      0.00
 1635.40  67863.56      0.00      0.00
 1704.83  67880.58      0.00      0.00
 1650.39  67874.16      0.00      0.00
  763.93  39789.99      0.32      0.00
    0.32     11.97      0.00      0.00
  903.41  38729.10      0.00      0.00
 1390.83  67872.66      0.00      0.00
 1416.35  67863.79      0.00      0.00
 1744.93  67882.40      0.32      0.00
 1663.22  67865.44      0.00      0.00
 1647.60  67862.98      0.00      0.00
 1677.11  67872.59      0.00      0.00
 1647.27  67880.37      0.00      0.00
 1647.34  67867.28      0.32      0.00
 1665.23  67870.96      0.00      0.00
 1671.22  67855.96      0.00      0.00
 1673.86  67886.33      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1660.19  67873.86      0.00      0.00
  492.21  20347.93      0.00      0.00
    0.00      0.00      0.32      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.33      0.48      0.00      0.00
    0.83      0.00      0.83      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
