    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1552.58  61236.79      0.00      0.00
 1716.41  67888.51      0.83      0.00
 1730.62  67871.39      0.00      0.00
 1686.77  67858.64      0.00      0.00
 1656.50  67880.10      0.32      0.00
 1651.94  67873.63      0.00      0.00
 1631.00  67869.03      0.00      0.00
 1655.66  67867.51      0.00      0.00
 1676.09  67870.99      0.00      0.00
 1396.91  67867.62      0.32      0.00
 1616.76  67398.74      0.00      0.00
 1673.07  68343.94      0.00      0.00
 1646.70  67876.70      0.00      0.00
 1624.36  67865.19      0.00      0.00
 1639.58  67869.86      0.00      0.00
 1646.82  67878.39      0.32      0.00
 1497.45  67834.48      0.00      0.00
 1633.19  67912.18      0.83      0.00
 1569.19  67866.29      0.00      0.00
 1659.21  67864.72      0.00      0.00
 1605.32  67878.38      0.32      0.00
 1362.79  67800.51      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1643.94  67938.38      0.00      0.00
 1631.23  67873.90      0.00      0.00
 1680.06  67694.33      0.00      0.00
 1666.16  68044.44      0.00      0.00
 1525.86  67873.38      0.32      0.00
 1681.33  67860.11      0.00      0.00
 1654.11  67885.11      0.00      0.00
 1248.52  67870.88      0.00      0.00
  521.44  30445.32      0.00      0.00
    0.00     11.97      0.32      0.00
 1047.69  42235.66      0.00      0.00
 1767.87  67862.13      0.00      0.00
 1652.71  67866.90      0.00      0.00
 1609.25  67871.57      0.00      0.00
 1646.20  67871.19      0.32      0.00
 1432.54  67879.92      0.00      0.00
 1602.71  67864.80      0.00      0.00
 1588.48  67876.98      0.00      0.00
 1674.62  67868.74      0.00      0.00
 1649.28  67877.69      0.00      0.00
 1639.45  67867.39      0.32      0.00
 1657.50  67867.92      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1655.17  67872.64      0.00      0.00
  600.30  24644.60      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
