    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1586.49  62163.29      0.00      0.00
 1703.25  67845.16      0.00      0.00
 1691.67  67906.49      1.16      0.00
 1693.81  67874.19      0.00      0.00
 1614.96  67869.78      0.00      0.00
 1706.64  67870.66      0.00      0.00
 1605.87  67851.22      0.00      0.00
 1690.86  67886.75      0.00      0.00
 1635.91  67876.25      0.32      0.00
 1711.66  67859.32      0.00      0.00
 1637.25  67879.76      0.00      0.00
 1675.34  67857.49      0.00      0.00
 1607.46  67886.00      0.00      0.00
 1696.24  67868.34      0.32      0.00
 1661.72  67873.62      0.00      0.00
 1640.86  67858.06      0.00      0.00
 1646.13  67883.22      0.00      0.00
 1687.94  67869.56      0.00      0.00
 1644.08  67735.45      0.83      0.00
 1673.65  67964.43      0.32      0.00
 1672.91  67905.98      0.00      0.00
 1573.30  67870.03      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1719.40  67875.44      0.00      0.00
 1638.13  67872.62      0.00      0.00
 1654.38  67870.22      0.32      0.00
 1655.41  67870.64      0.00      0.00
 1657.00  67869.42      0.00      0.00
 1656.62  67881.25      0.00      0.00
 1670.18  67868.27      0.00      0.00
 1669.97  67866.58      0.00      0.00
  354.09  25504.22      0.32      0.00
  316.47   6341.42      0.00      0.00
 1447.68  67871.31      0.00      0.00
 1007.59  67876.04      0.00      0.00
 1360.32  67844.93      0.00      0.00
 1222.88  67895.57      0.32      0.00
 1606.76  67869.69      0.00      0.00
 1591.92  67869.34      0.00      0.00
 1640.78  67870.57      0.00      0.00
 1657.40  67870.37      0.00      0.00
 1605.57  67854.87      0.00      0.00
 1663.62  67883.73      0.32      0.00
 1637.94  67876.61      0.00      0.00
 1639.26  67863.59      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1641.37  67874.89      0.00      0.00
  583.87  23939.29      0.00      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.00      0.00
    0.00      0.00      0.83      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
