    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1324.53  58592.31    541.94  23084.91
 1495.59  67860.61    692.75  29923.35
 1230.72  67870.96    596.62  29922.64
 1305.10  67874.11    625.45  29917.33
 1414.61  67870.31    683.01  29927.63
 1342.97  67868.46    666.81  29921.80
 1229.19  67870.90    606.21  29924.03
 1333.06  67869.96    633.05  29925.03
 1502.20  67873.63    699.65  29917.12
 1380.61  67870.78    676.15  29925.39
 1581.33  67870.05    732.06  29916.95
 1657.65  67859.47    741.59  29924.27
 1689.28  67889.39    749.96  29928.32
 1712.54  67863.14    795.27  29917.77
 1452.33  67870.50    687.32  29925.27
 1666.85  67874.84    750.40  29915.21
 1677.56  67865.15    731.35  29934.87
 1650.24  67865.36    756.28  29916.28
 1702.72  67884.99    753.22  29921.87
 1689.24  67858.07    742.98  29916.95
 1681.71  67875.00    740.39  29929.91
 1690.86  67871.10    770.37  29921.40
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1668.98  67873.64    726.90  29923.79
 1696.50  67867.04    736.14  29923.82
 1709.51  67869.17    750.35  29919.62
 1653.69  67863.19    731.07  29916.22
 1687.66  67874.52    748.25  29931.01
 1704.58  67885.12    739.54  29923.25
 1669.60  67867.20    767.53  29923.25
 1679.99  67870.90    740.89  29922.93
 1408.12  65673.92    621.13  29924.01
    0.00     23.92      0.00   3109.44
    0.00     11.97      0.00     11.97
    0.00     11.96      0.00      0.00
    0.32      0.00      0.00     11.97
    0.00      0.00    833.14  16621.97
    0.00     11.97   1048.37  29926.91
 2038.59  55911.77    415.97  23904.89
  364.74    216.87     24.12     12.70
 1238.12  50486.95    758.61  21941.53
 1664.89  67869.42    730.38  29924.79
 1674.82  67862.95    736.68  29904.69
 1663.38  67874.37    742.67  29937.46
 1695.18  67708.62    741.92  29929.80
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1693.40  68032.91    748.06  29918.63
  417.89  17217.98    301.41  12437.99
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.33      0.48
    1.15      0.00      0.83      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
