    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1482.84  59135.69    609.24  23978.03
 1659.75  67878.65    764.25  29930.39
 1622.15  67874.80    738.46  29920.70
 1618.71  67858.33    747.03  29916.52
 1678.32  67883.52    741.24  29929.59
 1680.04  67872.20    736.71  29924.87
 1669.82  67861.68    739.17  29920.79
 1653.27  67875.98    739.12  29917.88
 1707.62  67864.08    760.60  29925.35
 1699.93  67878.20    765.21  29924.21
 1656.51  67868.79    722.96  29921.68
 1667.57  67876.26    749.67  29927.22
 1672.45  67870.33    736.84  29923.51
 1698.24  67868.35    750.62  29923.83
 1662.11  67875.72    740.56  29923.23
 1692.26  67871.14    761.26  29841.95
 1681.01  67871.00    751.34  30002.86
 1673.95  67867.48    765.21  29924.86
 1703.95  67864.57    748.67  29915.96
 1701.42  67882.64    772.44  29927.80
 1659.86  67864.19    748.48  29921.78
 1692.07  67873.52    753.37  29925.70
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1682.55  67874.36    767.08  29902.30
 1825.14  67825.52    829.18  29917.46
 1694.29  67915.49    768.25  29951.36
 1696.72  67860.98    763.10  29913.36
 1672.04  67882.29    751.50  29927.63
 1675.49  67877.30    749.99  29914.97
 1786.53  67864.73    888.19  29928.05
 1754.02  67881.33    814.64  29860.96
  898.62  44728.97    398.30  25653.79
    0.00     23.93      0.00     11.97
    0.00      0.00      0.00     11.97
    0.00     11.97      0.00      0.00
    0.32      0.00      0.00     11.97
    0.00     11.97      0.32      0.00
    0.00      0.00      0.00      0.00
  176.56    887.29      0.00      0.00
  155.48      1.47      0.00      0.00
  187.40      1.47    215.24   7806.02
   82.74      1.46    777.09  29921.60
   63.81      0.73    852.38  29925.66
    0.00      0.00    859.64  29924.78
    0.00      0.00    883.24  29923.70
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00    812.51  29921.53
    0.65      0.48    721.49  29923.12
    1.40      1.47    166.14   6783.52
    0.73      0.73      0.00      0.00
    0.42     11.97      0.00      0.00
    0.00      0.00      0.00      0.00
    1.15      0.00      0.83      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
