    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1408.96  61218.57    563.28  24016.10
 1445.39  66787.46    685.72  29910.73
 1306.13  67874.66    660.07  29930.96
 1406.20  67862.51    674.81  29924.19
 1432.31  67877.20    665.45  29913.41
 1297.63  67863.49    639.67  29927.72
 1431.96  67882.62    676.88  29926.74
 1432.13  67869.06    668.72  29921.80
 1531.70  67865.63    704.66  29913.59
 1491.63  67883.83    699.18  29925.86
 1580.81  67869.16    714.70  29927.12
 1441.87  67873.15    679.75  29926.43
 1586.87  67863.24    754.18  29920.65
 1672.67  67877.59    736.58  29923.11
 1682.91  67864.43    740.05  29925.09
 2374.90  67870.04    750.23  29922.80
 1663.08  67873.30    755.78  29918.39
 1673.72  67870.70    759.08  29921.06
 1662.61  67871.14    731.48  29921.76
 1859.90  67851.18    746.58  29916.48
 3064.92  63749.76    748.46  29926.87
 2975.99  61283.86    732.85  29920.96
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 2783.33  57803.78    735.09  29927.18
 2457.75  66665.21    762.93  29924.98
 1689.03  67870.50    760.37  29925.27
 1665.02  67870.64    744.79  29925.33
 1673.10  67872.22    744.98  29913.54
 1666.48  67869.75    741.65  29924.82
 1667.12  67868.38    731.07  29919.10
 1665.67  67873.54    727.27  29929.93
  421.51  28320.76    182.56  17557.90
    0.00     11.96      0.00     11.96
    0.00      0.00      0.00     11.97
    0.00     11.97      0.00      0.00
 1988.14  46057.85      0.32     11.97
 2058.70  67855.38    404.03  12995.30
  387.12  67881.64    516.37  29930.28
  484.98  67872.25    325.08  29919.72
  265.47   5471.58    113.39   3556.44
    0.32      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
 1119.86  47604.05    838.67  20778.31
 1695.59  67866.78    765.89  29923.62
 1685.02  67870.36    756.49  29923.79
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1732.63  67874.64    772.70  29915.12
  609.63  24430.94    340.87  13660.58
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    1.16      0.00      0.84      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
