    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1497.44  61473.97      0.00      0.00
 1731.70  67862.57      0.00      0.00
 1751.98  67771.18      1.16      0.00
 1625.04  67973.85      0.00      0.00
 1626.53  67869.83      0.00      0.00
 1648.36  67875.88      0.00      0.00
 1574.96  67874.91      0.00      0.00
 1608.34  67856.93      0.00      0.00
 1654.08  67879.48      0.32      0.00
 1568.06  67841.07      0.00      0.00
 1548.01  67892.44      0.00      0.00
 1563.32  67877.59      0.00      0.00
 1517.99  67368.51      0.00      0.00
 1547.34  68376.40      0.32      0.00
 1536.23  67865.22      0.00      0.00
 1651.12  67880.17      0.00      0.00
 1619.33  67871.02      0.00      0.00
 1593.87  67868.74      0.00      0.00
 1539.66  67869.37      0.84      0.00
 1533.02  67870.79      0.32      0.00
 1561.10  67865.73      0.00      0.00
 1616.09  67880.03      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1636.26  67875.03      0.00      0.00
 1617.09  67857.37      0.00      0.00
 1652.82  67871.29      0.32      0.00
 1573.54  67870.44      0.00      0.00
 1623.83  67876.69      0.00      0.00
 1646.86  67870.99      0.00      0.00
 1579.14  67879.30      0.00      0.00
 1639.56  67862.45      0.00      0.00
  790.54  42317.82      0.32      0.00
    0.00     23.94      0.00      0.00
  529.16  11711.77      0.00      0.00
 1797.23  67865.67      0.00      0.00
 1594.19  67876.67      0.00      0.00
 1459.78  67878.07      0.32      0.00
 1669.38  67863.80      0.00      0.00
 1647.28  67864.34      0.00      0.00
 1611.64  67879.90      0.00      0.00
 1670.12  67860.21      0.00      0.00
 1660.28  67871.77      0.32      0.00
 1637.70  67874.28      0.00      0.00
 1637.20  67881.66      0.00      0.00
 1663.83  67862.20      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1608.26  67868.53      0.00      0.00
  594.62  23197.15      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    1.15      0.00      0.83      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
