    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1189.79  56361.02   1056.46  52456.80
 1247.26  67121.37   1313.74  71085.89
  874.41  58126.63    874.67  60243.55
 1415.35  60186.40   1456.07  61099.75
 2008.95  67179.27   2055.90  66963.72
 1956.89  66146.37   1876.03  63967.84
 1854.49  66052.90   1924.78  66495.24
 1142.34  57268.35   1175.70  57098.58
 1937.65  66985.63   1875.34  67822.94
 1849.81  67245.67   1799.93  64635.38
 1847.59  63470.03   1824.46  63491.39
 1769.33  67763.65   1720.54  69805.84
 1931.84  67889.59   1800.66  63475.32
 1980.01  67848.25   1960.21  66675.16
 1949.31  66986.00   1939.38  64926.39
 1968.80  65674.01   1953.70  62731.81
 1773.26  59739.52   1772.96  57379.89
 1688.91  54508.72   1772.22  65736.53
 1892.90  67862.34   1919.36  68733.60
 1775.29  67009.27   1682.62  59897.77
 1887.37  61270.34   1249.47  36515.95
 1737.18  63383.67   1746.32  65458.87
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1995.47  67849.79   1933.08  68029.51
 1956.23  66197.88   1921.75  60513.36
 1697.71  55888.74   1485.91  47600.85
 1612.47  57914.08   1542.57  57444.00
 1813.93  64565.43   1889.68  68989.79
 1804.58  64573.09   1939.25  64007.26
 1770.12  67564.26   1760.01  70792.97
 1734.01  54122.34   2001.47  61915.16
  753.60  36413.56    883.83  40717.79
    0.00     23.72      0.00     23.72
    0.00      0.00      0.00     11.90
    0.00     11.97      0.00      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00     11.95
  817.83  42555.16      0.00      0.00
  750.09  67870.32      0.00      0.00
 1152.43  67871.36     20.21  11815.12
  247.21  16689.43    246.03     25.41
  128.23    300.96    302.48      1.47
  222.10  14140.14    200.42   2753.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
    0.00      0.00      0.00      0.00
    0.32      0.00      0.33      0.48
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.83      0.00
    1.16      0.00      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
