    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1573.83  61780.87      0.00      0.00
 1713.30  67870.28      0.00      0.00
 1656.13  67871.94      1.16      0.00
 1698.21  67876.39      0.00      0.00
 1645.97  67866.13      0.00      0.00
 1640.69  67862.43      0.00      0.00
 1655.69  67877.95      0.00      0.00
 1645.63  67854.94      0.00      0.00
 1637.13  67886.90      0.32      0.00
 1655.63  67871.71      0.00      0.00
 1639.54  67868.25      0.00      0.00
 1636.59  67824.84      0.00      0.00
 1669.62  67916.28      0.00      0.00
 1653.80  67876.80      0.32      0.00
 1657.59  67862.40      0.00      0.00
 1635.68  67879.42      0.00      0.00
 1666.39  67862.91      0.00      0.00
 1648.92  67869.26      0.00      0.00
 1641.97  67879.72      0.84      0.00
 1660.51  67862.94      0.32      0.00
 1685.07  67882.58      0.00      0.00
 1610.79  67863.47      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1644.64  67862.51      0.00      0.00
 1621.85  67879.17      0.00      0.00
 1636.41  67873.88      0.32      0.00
 1603.62  67874.80      0.00      0.00
 1654.26  67866.88      0.00      0.00
 1647.85  67868.81      0.00      0.00
 1633.38  67875.33      0.00      0.00
 1661.81  67871.39      0.32      0.00
 1131.92  55063.35      0.00      0.00
    0.00     23.93      0.00      0.00
 1089.61  31776.07      0.00      0.00
 1730.99  67882.62      0.00      0.00
 1616.09  67871.27      0.00      0.00
 1649.66  67867.96      0.32      0.00
 1644.48  67865.79      0.00      0.00
 1663.51  67874.72      0.00      0.00
 1635.49  67878.54      0.00      0.00
 1658.26  67864.04      0.00      0.00
 1636.98  67876.67      0.32      0.00
 1682.03  67868.82      0.00      0.00
 1649.17  67784.18      0.00      0.00
 1660.53  67957.51      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1649.82  67867.58      0.00      0.00
  642.58  26288.20      0.00      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    1.15      0.00      0.84      0.00
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
