    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1516.37  61512.20      0.00      0.00
 1610.92  67877.25      0.00      0.00
 1596.22  67680.83      1.15      0.00
 1593.20  67868.32      0.00      0.00
 1644.11  67868.74      0.00      0.00
 1612.84  67876.11      0.00      0.00
 1599.23  67868.68      0.00      0.00
 1648.03  67872.10      0.32      0.00
 1544.50  67874.45      0.00      0.00
 1674.20  67866.84      0.00      0.00
 1662.96  67875.47      0.00      0.00
 1701.32  67863.66      0.00      0.00
 1719.17  67869.49      0.00      0.00
 1685.23  67870.10      0.32      0.00
 1649.09  67866.63      0.00      0.00
 1664.75  67879.11      0.00      0.00
 1664.00  67872.89      0.00      0.00
 1660.56  67869.46      0.00      0.00
 1660.61  67876.92      1.15      0.00
 1653.08  67729.83      0.00      0.00
 1662.13  67976.11      0.00      0.00
 1656.48  67899.02      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1641.76  67870.91      0.00      0.00
 1640.09  67861.63      0.00      0.00
 1667.05  67884.11      0.32      0.00
 1631.22  67871.84      0.00      0.00
 1676.52  67869.56      0.00      0.00
 1638.05  67790.02      0.00      0.00
 1676.21  67925.26      0.00      0.00
 1642.81  67894.89      0.32      0.00
 1315.09  62945.37      0.00      0.00
    0.32     23.92      0.00      0.00
  972.76  38067.27      0.00      0.00
 1513.23  67868.64      0.00      0.00
 1567.76  67874.79      0.00      0.00
 1652.74  67859.12      0.32      0.00
 1651.12  67879.18      0.00      0.00
 1659.32  67878.38      0.00      0.00
 1651.85  67846.70      0.00      0.00
 1661.43  67887.79      0.00      0.00
 1641.02  67860.55      0.32      0.00
 1637.66  67824.55      0.00      0.00
 1649.18  67922.55      0.00      0.00
 1657.28  67875.91      0.00      0.00
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1637.10  67873.41      0.00      0.00
  641.38  25944.38      0.00      0.00
    0.00      0.00      0.32      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.00      0.00      0.32      0.00
    0.32      0.00      0.00      0.00
