    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1086.86  60623.06   1008.65  56779.40
  747.55  64267.07    883.83  70827.62
 1268.02  54186.55   1323.64  59434.24
 1345.23  63275.05   1455.43  66104.73
 1453.71  58663.33   1434.49  59142.41
 1664.27  61645.85   1812.33  65236.80
 1694.91  58671.52   1788.01  60993.45
 1826.55  58949.86   1851.86  62037.22
 2035.10  67865.69   2118.40  72060.33
 2065.86  67875.29   2237.91  72038.93
 1969.59  67863.50   2018.87  71324.94
 1945.37  67862.07   2152.20  72028.79
 2098.08  67540.90   2187.15  70425.42
 2090.01  67914.38   2153.49  72008.58
 2130.07  67867.81   2150.29  71902.24
 1970.16  67678.20   2047.55  72051.06
 1997.47  68004.16   1997.23  70158.46
 1921.62  67861.55   1990.23  66167.74
 1905.44  67847.51   1922.66  72057.55
 1802.77  64376.38   1859.50  68089.89
 1917.28  67854.94   2037.99  72032.29
 1986.49  67896.60   2072.79  72060.82
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 2089.35  67858.91   2178.74  72037.93
 2081.55  67865.96   2223.98  72055.22
 1931.20  67868.59   2034.02  72046.73
 2009.46  67884.87   2151.74  72067.00
 1908.42  67871.42   2074.45  69437.66
 1877.67  67845.47   1961.92  72014.67
 1960.10  67889.41   2056.71  72079.34
 1892.15  67884.57   2018.01  72053.23
  246.13  18457.78    251.73  20109.64
    0.32     11.97      0.00     11.97
    0.00     11.97      0.00     11.97
  377.76   5518.93      0.00      0.00
 2470.59  67872.23      0.32      0.00
 2604.86  67870.60      0.00     11.97
 1978.13  60320.49   1178.33  37829.53
  995.81  47268.89   1372.52  62986.45
   60.60      0.48    581.72  24747.17
 1719.87  50237.02   1666.27  54875.32
 1902.95  67875.82   1987.29  72054.45
 2119.45  67860.64   2112.17  72038.82
 2004.94  67877.42   2245.96  72067.38
 1887.29  67882.97   2039.70  72040.29
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 2054.54  67856.61   2143.72  72033.32
  603.44  21063.03    511.37  17646.23
    0.00      0.00      0.00      0.00
    0.32      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.83      0.00      0.83      0.00
    0.00      0.00      0.32      0.00
    0.32      0.00      0.00      0.00
