    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1327.39  55709.00   1206.31  52467.24
 1318.51  61716.27   1381.68  65490.32
 1256.22  64434.42   1307.26  68224.38
 1510.61  65685.47   1552.61  69720.13
 1436.36  65104.28   1501.56  68644.26
 1430.35  63907.15   1432.57  68331.65
 1446.86  65656.37   1538.03  70693.61
 1585.68  67149.24   1614.89  72013.71
 1135.57  61392.18   1244.10  67610.08
 1533.24  67906.80   1618.95  72085.73
 1387.64  67176.53   1497.45  71412.07
 1283.26  67379.22   1339.68  71745.50
 1509.16  68198.17   1587.83  72265.55
 1232.55  67868.63   1328.76  72070.11
 1348.47  67617.71   1458.72  71792.16
 1351.02  67620.92   1426.00  71886.06
 1518.46  64757.88   1522.41  68916.42
 1495.61  67618.00   1551.03  71728.96
 1188.15  67582.45   1395.04  68803.61
 1114.68  66618.27   1131.12  69511.38
 1384.97  65537.97   1361.90  68923.71
 1176.32  62437.87   1245.18  66501.53
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1310.60  61173.27   1440.10  65947.77
 1253.46  66316.63   1329.00  71618.17
 1291.27  67443.79   1350.46  71892.32
 1430.01  67900.53   1535.98  72075.79
 1453.51  67875.58   1529.98  72050.77
 1455.17  67866.36   1553.07  72051.06
 1442.58  67873.63   1541.40  72049.00
 1408.56  67850.99   1482.18  72010.51
  795.17  35975.59    793.81  37922.03
    0.00     11.97      0.00     11.97
    0.00     11.97    724.26  39933.63
 1430.64  47239.84   1516.31  59930.40
 1893.69  67832.36   1978.40  70278.58
 1869.34  67907.72   1877.74  69474.21
 1714.72  67615.39   1767.97  68835.28
 1731.53  61009.63   1497.21  49447.71
 1872.21  67882.44   1782.06  64882.78
 2143.73  67880.47   2000.06  68204.56
 1872.83  66182.50   1756.75  61398.77
 1781.13  67793.85   1768.39  70112.12
 1758.99  67903.53   1883.82  72048.77
 2051.93  67949.89   2283.85  72082.26
    sta1-wlan0          sta1-wlan1    
 Kbps in  Kbps out   Kbps in  Kbps out
 1698.54  67864.17   1783.16  72031.83
 1259.67  41274.11   1100.88  33380.78
    0.00      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00
    0.33      0.48      0.00      0.00
    0.83      0.00      0.83      0.00
    0.32      0.00      0.32      0.00
    0.00      0.00      0.00      0.00
